"File","Path","Size","modified Time","Access Time","Created Time","MD5","Owner","Group","Mode"
"alibaba.lp","C:\Users\Auime\OneDrive\Code\PythonScripts\alibaba.lp","25922","Thu Oct 17 22:55:44 2019","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:52:44 2023","608C858C9825311338FB5329A68CBBEA","0","0","33206"
"ArithmeticCoding.py","C:\Users\Auime\OneDrive\Code\PythonScripts\ArithmeticCoding.py","1722","Fri Mar 17 22:11:00 2023","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:51:52 2023","39A40808EAC3534585AD5722C2382E4B","0","0","33206"
"arithmetic_coding.csv","C:\Users\Auime\OneDrive\Code\PythonScripts\arithmetic_coding.csv","476","Tue Mar 14 11:47:27 2023","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:51:52 2023","2FD92A127A6DD41FF499461373DD86A9","0","0","33206"
"cookies.pkl","C:\Users\Auime\OneDrive\Code\PythonScripts\cookies.pkl","1485","Mon Jun 15 23:35:09 2020","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:52:44 2023","1B707CBA9F87B419F880C2CA87E919A9","0","0","33206"
"debug.log","C:\Users\Auime\OneDrive\Code\PythonScripts\debug.log","75267","Tue Jun 30 20:02:10 2020","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:52:44 2023","2EB1E049FA7AD03CEA734D89A4957E1A","0","0","33206"
"douban_cookie.py","C:\Users\Auime\OneDrive\Code\PythonScripts\douban_cookie.py","239","Mon Jun 15 23:34:38 2020","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:52:44 2023","B1C074959E18F774F9FB87764E12DD86","0","0","33206"
"download_pic.py","C:\Users\Auime\OneDrive\Code\PythonScripts\download_pic.py","893","Tue Apr 21 23:54:46 2020","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:52:40 2023","689FEBC59AF6FA5E39EA450128DF9857","0","0","33206"
"eight_thousand_ut8","C:\Users\Auime\OneDrive\Code\PythonScripts\eight_thousand_ut8","16063","Mon Mar 20 03:23:00 2023","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:51:50 2023","57AFF7F9965661A61F9DC63720AC3CC6","0","0","33206"
"eight_thousand_ut8.sql","C:\Users\Auime\OneDrive\Code\PythonScripts\eight_thousand_ut8.sql","24660","Mon Mar 20 03:28:57 2023","Sun Jun 18 01:20:58 2023","Fri Apr 28 22:51:50 2023","A0D0BE18E3B6B0DD1AD6E0F79453C217","0","0","33206"
"geckodriver.log","C:\Users\Auime\OneDrive\Code\PythonScripts\geckodriver.log","0","Mon Jun 15 23:26:05 2020","Sun Jun 18 01:20:29 2023","Fri Apr 28 22:52:44 2023","D41D8CD98F00B204E9800998ECF8427E","0","0","33206"
